Codename,Category,URL,Game,UseMaster,Release,Version
imoenRomance,NPC-EXPANSION,"http://imoen.blindmonkey.org/downloads.php",BG2,,2026-03-07,"4.1.3"
dynaheir-bg2ee,NPC,"https://downloads.weaselmods.net/download/dynaheir-bg2ee",BG2,,2026-01-25,"1.1"
faldorn-bg2ee,NPC,"https://downloads.weaselmods.net/download/faldorn-bg2ee",BG2,,2023-05-31,"1.3"
khalid-bg2,NPC,"https://downloads.weaselmods.net/download/khalid-bg2",BG2,,2025-10-13,"1.07"
of-heirlooms-and-classes,ITEMS,"https://downloads.weaselmods.net/download/of-heirlooms-and-classes",BG2,,2024-09-06,"2.2"
oozes-lounge,QUEST,"https://downloads.weaselmods.net/download/oozes-lounge",BG2,,2026-01-08,"3.0"
quayle-bg2,NPC,"https://downloads.weaselmods.net/download/quayle-bg2",BG2,,2026-01-01,"7.5.1"
shades-of-the-sword-coast,QUEST,"https://downloads.weaselmods.net/download/shades-of-the-sword-coast",BG1,,2026-01-31,"10.4"
skie-the-cost-of-one-girls-soul,QUEST/NPC,"https://downloads.weaselmods.net/download/skie-the-cost-of-one-girls-soul",BG2,,2026-03-01,"7.01"
tangled-oak-isle,QUEST,"https://downloads.weaselmods.net/download/tangled-oak-isle",BG2,,2026-01-10,"4.7"
the-return-of-xzar-and-montaron,NPC,"https://downloads.weaselmods.net/download/the-return-of-xzar-and-montaron",BG2,,2025-12-13,"1.5"
verrsza-bg2ee,NPC,"https://downloads.weaselmods.net/download/verrsza-bg2ee",BG2,,2025-12-27,"2.3.1"
viconia-revamped,NPC-EXPANSION,"https://downloads.weaselmods.net/download/viconia-revamped",BG1-BG2,,2025-04-07,"7.3"
yoshimo-romance,NPC-EXPANSION,"https://downloads.weaselmods.net/download/yoshimo-romance",BG2,,2026-01-23,"8.0"
Black-Hearts,QUEST,"https://github.com/A-Wizard-Did-It/Black-Hearts",BG1,,2025-05-27,"v2.03"
NWNForBG,QUEST,"https://github.com/abalabokhin/NWNForBG",BG2,,2025-12-31,"1.00"
Call-of-the-Lost-Goddess,QUEST,"https://github.com/AciferBG/Call-of-the-Lost-Goddess",BG2,,2026-01-05,"v2.7"
Dark-Tidings,QUEST,"https://github.com/AciferBG/Dark-Tidings",BG2,,2026-03-14,"v3.0"
Dark-Tidings,QUEST,"https://github.com/AciferBG/Dark-Tidings",BG2,,2026-03-14,"v3.0"
